species;POR_1_A6_2013_P2;POR_1_A6_2013_P3;POR_1_A6_2013_P4;POR_1_A6_2016_P1;POR_1_A6_2016_P2;POR_1_A6_2016_P3;POR_1_A6_2016_P4;POR_1_A6_2017_P1;POR_1_A6_2017_P2;POR_1_A6_2017_P3;POR_1_A6_2017_P4;POR_1_A6_2018_P2;POR_1_A6_2018_P3;POR_1_A6_2018_P4;POR_1_B6_2013_P2;POR_1_B6_2013_P3;POR_1_B6_2013_P4;POR_1_B6_2016_P1;POR_1_B6_2016_P2;POR_1_B6_2016_P3;POR_1_B6_2016_P4;POR_1_B6_2017_P1;POR_1_B6_2017_P2;POR_1_B6_2017_P3;POR_1_B6_2017_P4;POR_1_B6_2018_P2;POR_1_B6_2018_P3;POR_1_B6_2018_P4;POR_2_C6_2013_P2;POR_2_C6_2013_P3;POR_2_C6_2013_P4;POR_2_C6_2016_P1;POR_2_C6_2016_P2;POR_2_C6_2016_P3;POR_2_C6_2016_P4;POR_2_C6_2017_P1;POR_2_C6_2017_P2;POR_2_C6_2017_P3;POR_2_C6_2017_P4;POR_2_C6_2018_P2;POR_2_C6_2018_P3;POR_2_C6_2018_P4;POR_2_D6_2013_P2;POR_2_D6_2013_P3;POR_2_D6_2013_P4;POR_2_D6_2016_P1;POR_2_D6_2016_P2;POR_2_D6_2016_P3;POR_2_D6_2016_P4;POR_2_D6_2017_P1;POR_2_D6_2017_P2;POR_2_D6_2017_P3;POR_2_D6_2017_P4;POR_2_D6_2018_P2;POR_2_D6_2018_P3;POR_2_D6_2018_P4;POR_3_E6_2013_P2;POR_3_E6_2013_P3;POR_3_E6_2013_P4;POR_3_E6_2016_P1;POR_3_E6_2016_P2;POR_3_E6_2016_P3;POR_3_E6_2016_P4;POR_3_E6_2017_P1;POR_3_E6_2017_P2;POR_3_E6_2017_P3;POR_3_E6_2017_P4;POR_3_E6_2018_P2;POR_3_E6_2018_P3;POR_3_E6_2018_P4;POR_3_F6_2013_P2;POR_3_F6_2013_P3;POR_3_F6_2013_P4;POR_3_F6_2016_P1;POR_3_F6_2016_P2;POR_3_F6_2016_P3;POR_3_F6_2016_P4;POR_3_F6_2017_P1;POR_3_F6_2017_P2;POR_3_F6_2017_P3;POR_3_F6_2017_P4;POR_3_F6_2018_P2;POR_3_F6_2018_P3;POR_3_F6_2018_P4;POR_1_A5_2013_P2;POR_1_A5_2013_P3;POR_1_A5_2013_P4;POR_1_A5_2016_P1;POR_1_A5_2016_P2;POR_1_A5_2016_P3;POR_1_A5_2016_P4;POR_1_A5_2017_P1;POR_1_A5_2017_P2;POR_1_A5_2017_P3;POR_1_A5_2017_P4;POR_1_A5_2018_P2;POR_1_A5_2018_P3;POR_1_A5_2018_P4;POR_1_B5_2013_P2;POR_1_B5_2013_P3;POR_1_B5_2013_P4;POR_1_B5_2016_P1;POR_1_B5_2016_P2;POR_1_B5_2016_P3;POR_1_B5_2016_P4;POR_1_B5_2017_P1;POR_1_B5_2017_P2;POR_1_B5_2017_P3;POR_1_B5_2017_P4;POR_1_B5_2018_P2;POR_1_B5_2018_P3;POR_1_B5_2018_P4;POR_2_C5_2013_P2;POR_2_C5_2013_P3;POR_2_C5_2013_P4;POR_2_C5_2016_P1;POR_2_C5_2016_P2;POR_2_C5_2016_P3;POR_2_C5_2016_P4;POR_2_C5_2017_P1;POR_2_C5_2017_P2;POR_2_C5_2017_P3;POR_2_C5_2017_P4;POR_2_C5_2018_P2;POR_2_C5_2018_P3;POR_2_C5_2018_P4;POR_2_D5_2013_P2;POR_2_D5_2013_P3;POR_2_D5_2013_P4;POR_2_D5_2016_P1;POR_2_D5_2016_P2;POR_2_D5_2016_P3;POR_2_D5_2016_P4;POR_2_D5_2017_P1;POR_2_D5_2017_P2;POR_2_D5_2017_P3;POR_2_D5_2017_P4;POR_2_D5_2018_P2;POR_2_D5_2018_P3;POR_2_D5_2018_P4;POR_3_E5_2013_P2;POR_3_E5_2013_P3;POR_3_E5_2013_P4;POR_3_E5_2016_P1;POR_3_E5_2016_P2;POR_3_E5_2016_P3;POR_3_E5_2016_P4;POR_3_E5_2017_P1;POR_3_E5_2017_P2;POR_3_E5_2017_P3;POR_3_E5_2017_P4;POR_3_E5_2018_P2;POR_3_E5_2018_P3;POR_3_E5_2018_P4;POR_3_F5_2013_P2;POR_3_F5_2013_P3;POR_3_F5_2013_P4;POR_3_F5_2016_P1;POR_3_F5_2016_P2;POR_3_F5_2016_P3;POR_3_F5_2016_P4;POR_3_F5_2017_P1;POR_3_F5_2017_P2;POR_3_F5_2017_P3;POR_3_F5_2017_P4;POR_3_F5_2018_P2;POR_3_F5_2018_P3;POR_3_F5_2018_P4;POR_1_A4_2013_P2;POR_1_A4_2013_P3;POR_1_A4_2013_P4;POR_1_A4_2016_P1;POR_1_A4_2016_P2;POR_1_A4_2016_P3;POR_1_A4_2016_P4;POR_1_A4_2017_P1;POR_1_A4_2017_P2;POR_1_A4_2017_P3;POR_1_A4_2017_P4;POR_1_A4_2018_P2;POR_1_A4_2018_P3;POR_1_A4_2018_P4;POR_1_B4_2013_P2;POR_1_B4_2013_P3;POR_1_B4_2013_P4;POR_1_B4_2016_P1;POR_1_B4_2016_P2;POR_1_B4_2016_P3;POR_1_B4_2016_P4;POR_1_B4_2017_P1;POR_1_B4_2017_P2;POR_1_B4_2017_P3;POR_1_B4_2017_P4;POR_1_B4_2018_P2;POR_1_B4_2018_P3;POR_1_B4_2018_P4;POR_2_C4_2013_P2;POR_2_C4_2013_P3;POR_2_C4_2013_P4;POR_2_C4_2016_P1;POR_2_C4_2016_P2;POR_2_C4_2016_P3;POR_2_C4_2016_P4;POR_2_C4_2017_P1;POR_2_C4_2017_P2;POR_2_C4_2017_P3;POR_2_C4_2017_P4;POR_2_C4_2018_P2;POR_2_C4_2018_P3;POR_2_C4_2018_P4;POR_2_D4_2013_P2;POR_2_D4_2013_P3;POR_2_D4_2013_P4;POR_2_D4_2016_P1;POR_2_D4_2016_P2;POR_2_D4_2016_P3;POR_2_D4_2016_P4;POR_2_D4_2017_P1;POR_2_D4_2017_P2;POR_2_D4_2017_P3;POR_2_D4_2017_P4;POR_2_D4_2018_P2;POR_2_D4_2018_P3;POR_2_D4_2018_P4;POR_3_E4_2013_P2;POR_3_E4_2013_P3;POR_3_E4_2013_P4;POR_3_E4_2016_P1;POR_3_E4_2016_P2;POR_3_E4_2016_P3;POR_3_E4_2016_P4;POR_3_E4_2017_P1;POR_3_E4_2017_P2;POR_3_E4_2017_P3;POR_3_E4_2017_P4;POR_3_E4_2018_P2;POR_3_E4_2018_P3;POR_3_E4_2018_P4;POR_3_F4_2013_P2;POR_3_F4_2013_P3;POR_3_F4_2013_P4;POR_3_F4_2016_P1;POR_3_F4_2016_P2;POR_3_F4_2016_P3;POR_3_F4_2016_P4;POR_3_F4_2017_P1;POR_3_F4_2017_P2;POR_3_F4_2017_P3;POR_3_F4_2017_P4;POR_3_F4_2018_P2;POR_3_F4_2018_P3;POR_3_F4_2018_P4;POR_1_A3_2013_P2;POR_1_A3_2013_P3;POR_1_A3_2013_P4;POR_1_A3_2016_P1;POR_1_A3_2016_P2;POR_1_A3_2016_P3;POR_1_A3_2016_P4;POR_1_A3_2017_P1;POR_1_A3_2017_P2;POR_1_A3_2017_P3;POR_1_A3_2017_P4;POR_1_A3_2018_P2;POR_1_A3_2018_P3;POR_1_A3_2018_P4;POR_1_B3_2013_P2;POR_1_B3_2013_P3;POR_1_B3_2013_P4;POR_1_B3_2016_P1;POR_1_B3_2016_P2;POR_1_B3_2016_P3;POR_1_B3_2016_P4;POR_1_B3_2017_P1;POR_1_B3_2017_P2;POR_1_B3_2017_P3;POR_1_B3_2017_P4;POR_1_B3_2018_P2;POR_1_B3_2018_P3;POR_1_B3_2018_P4;POR_2_C3_2013_P2;POR_2_C3_2013_P3;POR_2_C3_2013_P4;POR_2_C3_2016_P1;POR_2_C3_2016_P2;POR_2_C3_2016_P3;POR_2_C3_2016_P4;POR_2_C3_2017_P1;POR_2_C3_2017_P2;POR_2_C3_2017_P3;POR_2_C3_2017_P4;POR_2_C3_2018_P2;POR_2_C3_2018_P3;POR_2_C3_2018_P4;POR_2_D3_2013_P2;POR_2_D3_2013_P3;POR_2_D3_2013_P4;POR_2_D3_2016_P1;POR_2_D3_2016_P2;POR_2_D3_2016_P3;POR_2_D3_2016_P4;POR_2_D3_2017_P1;POR_2_D3_2017_P2;POR_2_D3_2017_P3;POR_2_D3_2017_P4;POR_2_D3_2018_P2;POR_2_D3_2018_P3;POR_2_D3_2018_P4;POR_3_E3_2013_P2;POR_3_E3_2013_P3;POR_3_E3_2013_P4;POR_3_E3_2016_P1;POR_3_E3_2016_P2;POR_3_E3_2016_P3;POR_3_E3_2016_P4;POR_3_E3_2017_P1;POR_3_E3_2017_P2;POR_3_E3_2017_P3;POR_3_E3_2017_P4;POR_3_E3_2018_P2;POR_3_E3_2018_P3;POR_3_E3_2018_P4;POR_3_F3_2013_P2;POR_3_F3_2013_P3;POR_3_F3_2013_P4;POR_3_F3_2016_P1;POR_3_F3_2016_P2;POR_3_F3_2016_P3;POR_3_F3_2016_P4;POR_3_F3_2017_P1;POR_3_F3_2017_P2;POR_3_F3_2017_P3;POR_3_F3_2017_P4;POR_3_F3_2018_P2;POR_3_F3_2018_P3;POR_3_F3_2018_P4;POR_1_A2_2013_P2;POR_1_A2_2013_P3;POR_1_A2_2013_P4;POR_1_A2_2016_P1;POR_1_A2_2016_P2;POR_1_A2_2016_P3;POR_1_A2_2016_P4;POR_1_A2_2017_P1;POR_1_A2_2017_P2;POR_1_A2_2017_P3;POR_1_A2_2017_P4;POR_1_A2_2018_P2;POR_1_A2_2018_P3;POR_1_A2_2018_P4;POR_1_B2_2013_P2;POR_1_B2_2013_P3;POR_1_B2_2013_P4;POR_1_B2_2016_P1;POR_1_B2_2016_P2;POR_1_B2_2016_P3;POR_1_B2_2016_P4;POR_1_B2_2017_P1;POR_1_B2_2017_P2;POR_1_B2_2017_P3;POR_1_B2_2017_P4;POR_1_B2_2018_P2;POR_1_B2_2018_P3;POR_1_B2_2018_P4;POR_2_C2_2013_P2;POR_2_C2_2013_P3;POR_2_C2_2013_P4;POR_2_C2_2016_P1;POR_2_C2_2016_P2;POR_2_C2_2016_P3;POR_2_C2_2016_P4;POR_2_C2_2017_P1;POR_2_C2_2017_P2;POR_2_C2_2017_P3;POR_2_C2_2017_P4;POR_2_C2_2018_P2;POR_2_C2_2018_P3;POR_2_C2_2018_P4;POR_2_D2_2013_P2;POR_2_D2_2013_P3;POR_2_D2_2013_P4;POR_2_D2_2016_P1;POR_2_D2_2016_P2;POR_2_D2_2016_P3;POR_2_D2_2016_P4;POR_2_D2_2017_P1;POR_2_D2_2017_P2;POR_2_D2_2017_P3;POR_2_D2_2017_P4;POR_2_D2_2018_P2;POR_2_D2_2018_P3;POR_2_D2_2018_P4;POR_3_E2_2013_P2;POR_3_E2_2013_P3;POR_3_E2_2013_P4;POR_3_E2_2016_P1;POR_3_E2_2016_P2;POR_3_E2_2016_P3;POR_3_E2_2016_P4;POR_3_E2_2017_P1;POR_3_E2_2017_P2;POR_3_E2_2017_P3;POR_3_E2_2017_P4;POR_3_E2_2018_P2;POR_3_E2_2018_P3;POR_3_E2_2018_P4;POR_3_F2_2013_P2;POR_3_F2_2013_P3;POR_3_F2_2013_P4;POR_3_F2_2016_P1;POR_3_F2_2016_P2;POR_3_F2_2016_P3;POR_3_F2_2016_P4;POR_3_F2_2017_P1;POR_3_F2_2017_P2;POR_3_F2_2017_P3;POR_3_F2_2017_P4;POR_3_F2_2018_P2;POR_3_F2_2018_P3;POR_3_F2_2018_P4;POR_1_A1_2013_P2;POR_1_A1_2013_P3;POR_1_A1_2013_P4;POR_1_A1_2016_P1;POR_1_A1_2016_P2;POR_1_A1_2016_P3;POR_1_A1_2016_P4;POR_1_A1_2017_P1;POR_1_A1_2017_P2;POR_1_A1_2017_P3;POR_1_A1_2017_P4;POR_1_A1_2018_P2;POR_1_A1_2018_P3;POR_1_A1_2018_P4;POR_1_B1_2013_P2;POR_1_B1_2013_P3;POR_1_B1_2013_P4;POR_1_B1_2016_P1;POR_1_B1_2016_P2;POR_1_B1_2016_P3;POR_1_B1_2016_P4;POR_1_B1_2017_P1;POR_1_B1_2017_P2;POR_1_B1_2017_P3;POR_1_B1_2017_P4;POR_1_B1_2018_P2;POR_1_B1_2018_P3;POR_1_B1_2018_P4;POR_2_C1_2013_P2;POR_2_C1_2013_P3;POR_2_C1_2013_P4;POR_2_C1_2016_P1;POR_2_C1_2016_P2;POR_2_C1_2016_P3;POR_2_C1_2016_P4;POR_2_C1_2017_P1;POR_2_C1_2017_P2;POR_2_C1_2017_P3;POR_2_C1_2017_P4;POR_2_C1_2018_P2;POR_2_C1_2018_P3;POR_2_C1_2018_P4;POR_2_D1_2013_P2;POR_2_D1_2013_P3;POR_2_D1_2013_P4;POR_2_D1_2016_P1;POR_2_D1_2016_P2;POR_2_D1_2016_P3;POR_2_D1_2016_P4;POR_2_D1_2017_P1;POR_2_D1_2017_P2;POR_2_D1_2017_P3;POR_2_D1_2017_P4;POR_2_D1_2018_P2;POR_2_D1_2018_P3;POR_2_D1_2018_P4;POR_3_E1_2013_P2;POR_3_E1_2013_P3;POR_3_E1_2013_P4;POR_3_E1_2016_P1;POR_3_E1_2016_P2;POR_3_E1_2016_P3;POR_3_E1_2016_P4;POR_3_E1_2017_P1;POR_3_E1_2017_P2;POR_3_E1_2017_P3;POR_3_E1_2017_P4;POR_3_E1_2018_P2;POR_3_E1_2018_P3;POR_3_E1_2018_P4;POR_3_F1_2013_P2;POR_3_F1_2013_P3;POR_3_F1_2013_P4;POR_3_F1_2016_P1;POR_3_F1_2016_P2;POR_3_F1_2016_P3;POR_3_F1_2016_P4;POR_3_F1_2017_P1;POR_3_F1_2017_P2;POR_3_F1_2017_P3;POR_3_F1_2017_P4;POR_3_F1_2018_P2;POR_3_F1_2018_P3;POR_3_F1_2018_P4
Agrostis_rupestris;;;;1;3;3;4;2;1;1;1;+;1;1;;;;;2;2;2;2;1;1;1;+;1;+;;;;1;2;2;2;2;1;1;1;+;+;+;;;;1;2;2;2;2;1;1;1;1;1;1;;;;1;2;2;2;2;1;1;1;1;1;1;;;;1;2;2;2;2;+;+;+;+;1;+;;;;;2;2;2;2;1;1;1;1;1;2;;;;;2;2;2;2;2;2;2;1;1;1;;;;1;2;2;2;2;+;+;+;+;+;+;;;;1;2;3;4;2;1;1;1;+;1;+;;;;1;2;2;2;2;1;1;1;+;+;+;;;;1;2;2;2;1;+;+;+;;;+;;;;1;2;2;2;+;+;+;+;+;+;+;;;;1;2;2;2;1;1;1;1;+;1;+;;;;1;2;2;2;+;+;+;+;+;1;+;;;;1;2;2;2;+;+;+;+;+;+;+;;;;;;2;2;+;+;+;+;;+;+;;;;;2;2;2;2;2;2;2;2;2;1;;;;1;2;2;2;+;+;+;+;+;+;+;;;;1;2;2;2;1;1;1;1;+;1;+;;;;;2;3;4;+;+;+;+;+;1;+;;;;;2;3;4;+;+;+;+;+;+;+;;;;;2;2;2;+;+;+;+;+;1;+;;;;;2;2;2;+;+;+;+;+;1;+;;;;1;2;2;2;;;+;+;;;;;;;;2;3;4;;+;+;+;;;;;;;;;;;;+;+;+;+;+;+;;;;;;;;;+;+;+;+;+;+;;;;;;2;2;+;+;+;+;+;+;+;;;;;;;;+;1;1;1;1;1;+;;;;;;;;;;+;+;;;;;;;;;3;4;;1;1;1;;;;;;;;;;;;+;+;+;;;+;;;;;;2;2;+;+;+;+;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+;+;+;+
Armeria_alpina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+;+;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardamine_bellidifolia;;;2;;;;;;;;;;+;;;;2;;;;;;;;;;;;;;2;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;2;;;;;;;;;;+;;;;2;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;+;+;;;;;+;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;+;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;+;1;1;1;+;1;+;;;;;;;;;;;;;;+;;;;;2;2;5;;;+;+;;+;;;2;2;;;;;;+;+;+;;;;;;2;1;2;2;5;;+;+;+;;;;;;;1;3;4;5;+;1;1;1;;;;;2;;;;;;+;+;+;+;;;;;;;;3;4;5;;+;1;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;1;1;;;
Cardamine_resedifolia;3;4;5;2;4;5;5;3;+;+;1;+;1;+;2;2;;2;4;5;5;2;+;+;1;+;+;+;;;;1;4;5;5;2;+;+;+;+;+;+;;;;;;;;3;1;1;1;+;1;+;;;;2;4;4;5;3;+;+;+;+;+;+;;;;;;;;3;+;+;+;+;+;+;;;;1;4;4;5;;;;1;+;+;+;;;;2;4;5;5;;;;;;;;;;;2;4;4;5;2;;;;+;+;+;;;;;;;;3;+;1;;+;+;+;;;;2;4;5;5;2;+;+;+;+;+;+;;;;;;;;3;+;1;1;+;+;1;2;;;;;;;;;;;;+;;;;;2;4;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;;;;;;;;;;;;;4;4;;;;;+;+;+;+;+;+;+;2;;4;;;;;;;;;;;;2;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;4;;;4;5;;;;;+;+;+;;;4;;;;;+;+;+;+;+;;+;;;;;;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carex_pyrenaica;;;;;;;;;;;;;;;;;;;;;;3;1;1;1;1;1;1;;;;;;;;3;;;;;;;;;;;;;;3;+;+;+;+;+;+;;;;3;4;5;6;;;;;;;;;;;;;;;;;;;;;;;;;;4;5;6;3;1;1;;1;1;1;;;;3;4;5;6;3;+;+;+;+;+;1;;;;3;4;5;6;3;+;+;;;;;;;;3;3;5;6;;;;;;;;;;;;;;;;;;;;;;;;;3;4;5;6;;;;;;;;3;4;6;;;;;2;2;2;2;2;2;2;;;;;;;;1;1;1;1;1;1;1;;;;;;;;1;1;1;1;+;1;+;;3;;1;3;4;6;;;;;+;+;+;;;;;2;4;6;;;;;;;;;;;2;3;4;6;;;;;;;;3;4;;2;3;4;6;1;1;1;1;1;1;1;3;4;6;;3;4;6;+;1;1;1;1;1;1;;;;2;3;4;6;1;1;1;1;+;1;+;3;;6;2;3;4;6;+;+;+;+;;;+;2;2;6;2;3;4;6;;;;;;;;;;;2;3;4;6;;;;;;;;3;4;6;;;;;;;;;;;;2;4;6;;3;4;6;;;;;;;;2;3;6;;;;;;+;;;;;;;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;;;;;3;4;6;;;;;;;;2;3;6;;3;4;6;;;;;;;;2;3;6;;;;;+;+;+;+;+;+;+;3;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carex_sempervirens;;;;;;;;;;;;;;;;;;;;;;3;+;+;+;+;+;+;;;;;;;;3;+;+;+;+;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;1;2;2;2;3;3;3;3;3;3;3;;;;1;2;2;2;3;+;+;+;+;1;+;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;6;;;;;;;;;;;;2;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cerastium_cerastoides;;;;;;;;2;+;+;+;+;+;+;;;;;;;;1;+;+;+;+;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;4;;;;;;;;;;;;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;;;;;;;;;;;;1;2;2;;;;;;;;;;;;;;;;;;;;;+;+;;;;;;;;2;2;6;;;;;;1;;;;;1;3;5;6;;;;;;;;;;;;2;2;6;1;1;1;1;+;+;1;1;2;2;1;2;2;6;2;2;2;2;+;+;+;1;3;2;;;;;+;+;;;;;;;;;;;;;;;;;;;;;;;1;2;5;6;+;+;;+;+;1;+;;;;;;;;1;1;1;1;+;1;+;;;;;2;2;6;+;+;+;+;;+;;1;2;2;;;;;1;1;1;1;+;+;1;1;2;2;;;;;+;+;+;+;;;;;;;1;3;5;6;;+;+;+;;+;;;;;1;3;5;6;1;1;1;1;+;+;+;;;;1;2;5;6;2;2;2;2;+;1;1;1;2;2;1;2;2;6;1;1;1;1;+;+;+;1;2;2;1;3;5;6;1;1;1;1;1;1;1;1;2;2;1;2;5;6;2;2;2;2;+;1;+;;;;1;3;5;6;1;2;2;2;+;;+;;;;1;3;5;6;1;2;1;1;+;1;1;;;;1;3;5;6;+;1;1;1;;;+;;;2;1;3;5;6;2;2;2;2;+;+;+;;;;1;2;2;6;1;1;1;1;+;+;+;1;2;2;1;2;2;6;2;2;2;2;+;+;+
Epikeros_pyrenaeus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euphrasia_minima;;;;;;3;4;1;1;1;1;+;+;+;;;;;;3;4;1;1;1;1;+;+;+;;;;;;;;;;1;1;+;+;+;;;;;;2;4;;;1;;;+;+;;;;;;;;;;+;+;;;;;;;;;;;;;+;+;;;;;;;;;3;4;1;+;1;1;+;1;+;;;;;;3;4;;;1;1;+;1;+;;;;;1;3;4;;;1;1;;;;;;;;;3;4;;;;;;;;;;;;1;3;4;;;;1;;;;;;;;1;3;4;;;;;;+;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;3;4;;;+;+;;;;;;;;;;;;;+;+;;;;;;;;;3;4;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;+;+;;;2;;;;;;;+;+;;;;;;3;;;;;;;;;;;;;;3;;;;;;;;;;;;;;3;;;;;;+;+;+;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;;;;;3;;;;;;;;;;;;;3;3;;;;;;;+;+;;;;;3;3;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;;
Gentiana_alpina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;2;+;1;1;+;1;+;;;;;;;;;;;;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Juncus_filiformis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;3;1;2;;;;;;;;3;3;3;3;3;2;3;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;3;3;;;;;;;;;;;;1;2;3;;;;;;;;;;;;;;;;;;;3;3;3;3;2;1;3;;;;;;;;2;2;2;2;2;2;3;;;;1;2;3;4;;;;;;;;;;;1;2;3;4;;;;;;;;1;2;3;1;2;3;4;;;;;;;;1;2;3;1;2;3;4;;;;;;;
