,Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr(>F)
df_pcoa$combe,7,14.4686908400535,2.06695583429336,58.8842132444927,0.628035591192422,0.001
df_pcoa$combe:df_pcoa$placette,8,4.53258587148915,0.566573233936144,16.1407508434371,0.196743802110335,0.001
Residuals,115,4.03673425943188,0.0351020370385381,NA,0.175220606697242,NA
Total,130,23.0380109709745,NA,NA,1,NA
