site;plot;year;date;time;temperature
Planès;Early;2013;28/06/2013;20:00:01;25,123
Planès;Early;2013;28/06/2013;23:00:01;22,622
Planès;Early;2013;29/06/2013;02:00:01;20,621
Planès;Early;2013;29/06/2013;05:00:01;18,618
Planès;Early;2013;29/06/2013;08:00:01;18,118
Planès;Early;2013;29/06/2013;11:00:01;24,123
Planès;Early;2013;29/06/2013;14:00:01;29,122
Planès;Early;2013;29/06/2013;17:00:01;30,62
Planès;Early;2013;29/06/2013;20:00:01;31,12
Planès;Early;2013;29/06/2013;23:00:01;26,623
Planès;Early;2013;30/06/2013;02:00:01;23,623
Planès;Early;2013;30/06/2013;05:00:01;21,121
Planès;Early;2013;30/06/2013;08:00:01;19,62
Planès;Early;2013;30/06/2013;11:00:01;23,623
Planès;Early;2013;30/06/2013;14:00:01;30,121
Planès;Early;2013;30/06/2013;17:00:01;34,614
Planès;Early;2013;30/06/2013;20:00:01;35,113
Planès;Early;2013;30/06/2013;23:00:01;30,62
Planès;Early;2013;01/07/2013;02:00:01;26,123
Planès;Early;2013;01/07/2013;05:00:01;22,622
Planès;Early;2013;01/07/2013;08:00:01;20,621
Planès;Early;2013;01/07/2013;11:00:01;25,623
Planès;Early;2013;01/07/2013;14:00:01;27,623
Planès;Early;2013;01/07/2013;17:00:01;30,121
Planès;Early;2013;01/07/2013;20:00:01;30,62
Planès;Early;2013;01/07/2013;23:00:01;23,623
Planès;Early;2013;02/07/2013;02:00:01;20,621
Planès;Early;2013;02/07/2013;05:00:01;19,119
Planès;Early;2013;02/07/2013;08:00:01;18,618
Planès;Early;2013;02/07/2013;11:00:01;23,623
Planès;Early;2013;02/07/2013;14:00:01;21,622
Planès;Early;2013;02/07/2013;17:00:01;22,622
Planès;Early;2013;02/07/2013;20:00:01;20,621
Planès;Early;2013;02/07/2013;23:00:01;18,118
Planès;Early;2013;03/07/2013;02:00:01;16,114
Planès;Early;2013;03/07/2013;05:00:01;15,112
Planès;Early;2013;03/07/2013;08:00:01;14,11
Planès;Early;2013;03/07/2013;11:00:01;17,116
Planès;Early;2013;03/07/2013;14:00:01;21,622
Planès;Early;2013;03/07/2013;17:00:01;25,623
Planès;Early;2013;03/07/2013;20:00:01;28,622
Planès;Early;2013;03/07/2013;23:00:01;25,623
Planès;Early;2013;04/07/2013;02:00:01;23,123
Planès;Early;2013;04/07/2013;05:00:01;21,622
Planès;Early;2013;04/07/2013;08:00:01;20,621
