site;plot;year;date;time;temperature
Cataperdris;Early;2017;29/07/2017;08:00:01;12,941
Cataperdris;Early;2017;29/07/2017;11:00:01;19,947
Cataperdris;Early;2017;29/07/2017;14:00:01;21,947
Cataperdris;Early;2017;29/07/2017;17:00:01;22,447
Cataperdris;Early;2017;29/07/2017;20:00:01;20,947
Cataperdris;Early;2017;29/07/2017;23:00:01;16,946
Cataperdris;Early;2017;30/07/2017;02:00:01;15,444
Cataperdris;Early;2017;30/07/2017;05:00:01;14,443
Cataperdris;Early;2017;30/07/2017;08:00:01;13,942
Cataperdris;Early;2017;30/07/2017;11:00:01;20,447
Cataperdris;Early;2017;30/07/2017;14:00:01;19,447
Cataperdris;Early;2017;30/07/2017;17:00:01;19,447
Cataperdris;Early;2017;30/07/2017;20:00:01;18,947
Cataperdris;Early;2017;30/07/2017;23:00:01;16,445
Cataperdris;Early;2017;31/07/2017;02:00:01;14,944
Cataperdris;Early;2017;31/07/2017;05:00:01;13,442
Cataperdris;Early;2017;31/07/2017;08:00:01;12,44
Cataperdris;Early;2017;31/07/2017;11:00:01;18,947
Cataperdris;Early;2017;31/07/2017;14:00:01;20,947
Cataperdris;Early;2017;31/07/2017;17:00:01;21,947
Cataperdris;Early;2017;31/07/2017;20:00:01;19,947
Cataperdris;Early;2017;31/07/2017;23:00:01;16,445
Cataperdris;Early;2017;01/08/2017;02:00:01;14,443
Cataperdris;Early;2017;01/08/2017;05:00:01;13,442
Cataperdris;Early;2017;01/08/2017;08:00:01;12,941
Cataperdris;Early;2017;01/08/2017;11:00:01;20,447
Cataperdris;Early;2017;01/08/2017;14:00:01;20,447
Cataperdris;Early;2017;01/08/2017;17:00:01;18,947
Cataperdris;Early;2017;01/08/2017;20:00:01;17,446
Cataperdris;Early;2017;01/08/2017;23:00:01;14,944
Cataperdris;Early;2017;02/08/2017;02:00:01;13,442
Cataperdris;Early;2017;02/08/2017;05:00:01;12,941
Cataperdris;Early;2017;02/08/2017;08:00:01;12,941
Cataperdris;Early;2017;02/08/2017;11:00:01;18,947
Cataperdris;Early;2017;02/08/2017;14:00:01;19,447
Cataperdris;Early;2017;02/08/2017;17:00:01;19,947
Cataperdris;Early;2017;02/08/2017;20:00:01;15,945
Cataperdris;Early;2017;02/08/2017;23:00:01;14,443
Cataperdris;Early;2017;03/08/2017;02:00:01;13,942
Cataperdris;Early;2017;03/08/2017;05:00:01;12,941
Cataperdris;Early;2017;03/08/2017;08:00:01;12,44
Cataperdris;Early;2017;03/08/2017;11:00:01;18,947
Cataperdris;Early;2017;03/08/2017;14:00:01;21,447
Cataperdris;Early;2017;03/08/2017;17:00:01;21,947
Cataperdris;Early;2017;03/08/2017;20:00:01;19,947
Cataperdris;Early;2017;03/08/2017;23:00:01;16,946
Cataperdris;Early;2017;04/08/2017;02:00:01;15,444
Cataperdris;Early;2017;04/08/2017;05:00:01;13,942
Cataperdris;Early;2017;04/08/2017;08:00:01;13,442
Cataperdris;Early;2017;04/08/2017;11:00:01;20,447
Cataperdris;Early;2017;04/08/2017;14:00:01;22,947
Cataperdris;Early;2017;04/08/2017;17:00:01;21,947
Cataperdris;Early;2017;04/08/2017;20:00:01;20,447
Cataperdris;Early;2017;04/08/2017;23:00:01;17,946
Cataperdris;Early;2017;05/08/2017;02:00:01;16,445
Cataperdris;Early;2017;05/08/2017;05:00:01;14,443
Cataperdris;Early;2017;05/08/2017;08:00:01;13,942
Cataperdris;Early;2017;05/08/2017;11:00:01;19,947
Cataperdris;Early;2017;05/08/2017;14:00:01;20,447
Cataperdris;Early;2017;05/08/2017;17:00:01;21,947
Cataperdris;Early;2017;05/08/2017;20:00:01;19,947
Cataperdris;Early;2017;05/08/2017;23:00:01;17,946
Cataperdris;Early;2017;06/08/2017;02:00:01;15,945
Cataperdris;Early;2017;06/08/2017;05:00:01;10,436
Cataperdris;Early;2017;06/08/2017;08:00:01;9,434
Cataperdris;Early;2017;06/08/2017;11:00:01;11,438
Cataperdris;Early;2017;06/08/2017;14:00:01;14,443
Cataperdris;Early;2017;06/08/2017;17:00:01;15,945
Cataperdris;Early;2017;06/08/2017;20:00:01;15,444
Cataperdris;Early;2017;06/08/2017;23:00:01;13,442
Cataperdris;Early;2017;07/08/2017;02:00:01;12,44
Cataperdris;Early;2017;07/08/2017;05:00:01;12,44
Cataperdris;Early;2017;07/08/2017;08:00:01;11,939
Cataperdris;Early;2017;07/08/2017;11:00:01;13,942
Cataperdris;Early;2017;07/08/2017;14:00:01;17,446
Cataperdris;Early;2017;07/08/2017;17:00:01;17,946
Cataperdris;Early;2017;07/08/2017;20:00:01;16,946
Cataperdris;Early;2017;07/08/2017;23:00:01;14,443
Cataperdris;Early;2017;08/08/2017;02:00:01;12,941
Cataperdris;Early;2017;08/08/2017;05:00:01;12,44
Cataperdris;Early;2017;08/08/2017;08:00:01;11,939
Cataperdris;Early;2017;08/08/2017;11:00:01;14,443
Cataperdris;Early;2017;08/08/2017;14:00:01;13,442
Cataperdris;Early;2017;08/08/2017;17:00:01;14,944
Cataperdris;Early;2017;08/08/2017;20:00:01;10,937
Cataperdris;Early;2017;08/08/2017;23:00:01;10,436
Cataperdris;Early;2017;09/08/2017;02:00:01;8,933
