1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A7000000209CCF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Thu Jul 23 14:00:01 CEST 2015
Mission Sample Count:  2968
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jul 23 14:00:01 CEST 2015
Total Mission Samples:  2968
Total Device Samples:  9753
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/07/15 14:00:01,C,23,093
23/07/15 17:00:01,C,29,592
23/07/15 20:00:01,C,25,094
23/07/15 23:00:01,C,17,086
24/07/15 02:00:01,C,13,579
24/07/15 05:00:01,C,11,573
24/07/15 08:00:01,C,11,071
24/07/15 11:00:01,C,13,579
24/07/15 14:00:01,C,21,092
24/07/15 17:00:01,C,24,094
24/07/15 20:00:01,C,20,091
24/07/15 23:00:01,C,15,082
25/07/15 02:00:01,C,13,077
25/07/15 05:00:01,C,12,074
25/07/15 08:00:01,C,12,074
25/07/15 11:00:01,C,14,08
25/07/15 14:00:01,C,19,09
25/07/15 17:00:01,C,22,593
25/07/15 20:00:01,C,19,59
25/07/15 23:00:01,C,14,08
26/07/15 02:00:01,C,11,071
26/07/15 05:00:01,C,10,57
26/07/15 08:00:01,C,10,068
26/07/15 11:00:01,C,13,077
26/07/15 14:00:01,C,22,093
26/07/15 17:00:01,C,29,092
26/07/15 20:00:01,C,23,594
26/07/15 23:00:01,C,17,086
27/07/15 02:00:01,C,14,08
27/07/15 05:00:01,C,12,576
27/07/15 08:00:01,C,11,573
27/07/15 11:00:01,C,14,581
27/07/15 14:00:01,C,23,093
27/07/15 17:00:01,C,27,593
27/07/15 20:00:01,C,21,092
27/07/15 23:00:01,C,15,583
28/07/15 02:00:01,C,13,077
