code;combe;quad;placette;n.placette;date;proxi;year;Agrostis rupestris;Alchemilla flabellata;Anthyllis vulneraria;Armeria alpina (var. occasiana);Armeria muelleri;Avenula versicolor;Bartsia alpina;Campanula scheuchzeri subsp. lanceolata;Cardamine alpina;Cardamine resedifolia;Cardamine sp.;Carex curvula subsp. curvula;Carex parviflora;Carex pyrenaica;Epikeros pyrenaeus;Euphrasia minima;Festuca glacialis;Festuca paniculata subsp. paniculata;Festuca rubra subsp. commutata;Gentiana alpina;Gentiana nivalis;Gentiana schleicheri;Geum montanum;Gnaphalium supinum;Helictotrichon sedenense;Homogyne alpina;Jasione crispa;Juncus trifidus;Leucanthemopsis alpina subsp. alpina;Linaria alpina;Lotus alpinus;Luzula alpinopilosa subsp. candollei;Luzula lutea;Luzula nutans;Luzula spicata (subsp. mutabilis);Meum athamanticum;Mucizonia sedoides;Murbeckiella pinnatifida;Nardus stricta;Oreochloa elegans;Pedicularis pyrenaica;Persicaria vivipara;Phleum alpinum s. s. (à arrête non ciliée);Phyteuma hemisphaericum;Poa alpina;Poa cenisia;Polytrichum sp.;Primula integrifolia;Rhododendron ferrugineum;Sagina saginoides;Salix herbacea;Salix retusa;Saxifraga geranioides;Saxifraga moschata;Scorzoneroides pyrenaica;Sedum alpestre;Sempervivum montanum;Sibbaldia procumbens;Silene acaulis subsp. acaulis;Silene rupestris;Soldanella alpina;Taraxacum pyrenaicum;Trifolium alpinum;Trifolium thalii;Vaccinium myrtillus;Veronica alpina
PdlC-A1-20180723;PdlC;A1;1;3;20180723;pheno;2018;;;;;;;;;fr;;;;;fe;;;;;fe;fe;;;fl;fe;;;;;;;;;;;;;;;;fl;;;;fe;bt;;fe;fr;;;fl m et f;;;;bt;fe;;fe;;;;;fe;;;
PdlC-A1-20180815;PdlC;A1;1;3;20180815;pheno;2018;;;;;;;;;fe;;;;;fe;;;;;bt;fe;;;fe;fr;;;;;;;;;;;;;;;;fr;;;;fe;fr;;fe;fe;;;fr;;;;fe;fe;;fe;;;;;fr;;;
PdlC-A1-20180905;PdlC;A1;1;3;20180905;pheno;2018;;;;;;;;;fe;;;;;fe;;;;;fr;fe;;;fe;di;;;;;;;;;;;;;;;;di;;;;fe;di;;fe;fe;;;se;;;;fe;fe;;fe;;;;;fe;;;fe
PdlC-A1-20190701;PdlC;A1;1;3;20190701;pheno;2019;;;;;;;;;fe;;;;;;;;;;;fe;;;fe;fe;;;;;;;;;;;;;;;;fe;;;;;fe;;;fe;;;br;;;;;;;fe;;;;;fe;;;
PdlC-A1-20190722;PdlC;A1;1;3;20190722;pheno;2019;;;;;;;;;fe;;;;;;;;fe;;fe;fe;;;fl;fe;;;;;;;;;;;;;;;;fl;;;;fe;bt;;;fe;;;fl m et f;;;;bt;;;fe;;;;;fl;;;
PdlC-A1-20190812;PdlC;A1;1;3;20190812;pheno;2019;fr;;;;;;;;fr;;;;;;;;fr;;bt;fr;;;di;fr;;fe;;;;;;;;;;;;;;fr;;;;bt;fr;;fe;fe;;;fr;;;;fe;;;fe;;;;;fe;;;fe
PdlC-A1-20190909;PdlC;A1;1;3;20190909;pheno;2019;fl;;;;;;;;fe;;;;;;;;fe;;fl;fe;;;se;di;;;;;;;;;;;;;;;;di;;;fe;fe;di;;fe;fe;;;di;;;;fe;fe;;fe;;;;;fe;;;fe
Coeff-PdlC-A1-2013;PdlC;A1;1;3;2013;Coeff;2013;;;;;;;;;;;;;;;;;;;2;1;;;2;2;;;;;;;;;;;;;;;;1;;;;+;+;;1;1;;;2;;;;2;1;;+;;;;;1;;;
Coeff-PdlC-A1-20180815;PdlC;A1;1;3;20180815;Coeff;2018;;;;;;;;;+;;;;;+;;;;;1;1;;;2;1;;;;;;;;;;;;;;;;+;;;;+;1;;1;2;;;2;;;;+;+;;1;;;;;1;;;
PdlC-A2-20130807;PdlC;A2;1;3;20130807;pheno;2013;;;;;;;;;;;;;;;;;;;;fe;;;;fe;;fe;;;;;;;;;;;;;;;;;;;fe;;;fe;;;fl f;;;;fe;fe;;fe;;;;;fe;;;
