code;combe;quad;placette;n.placette;date;proxi;year;Agrostis rupestris;Alchemilla flabellata;Anthyllis vulneraria;Armeria alpina (var. occasiana);Armeria muelleri;Avenula versicolor;Bartsia alpina;Campanula scheuchzeri subsp. lanceolata;Cardamine alpina;Cardamine resedifolia;Cardamine sp.;Carex curvula subsp. curvula;Carex parviflora;Carex pyrenaica;Epikeros pyrenaeus;Euphrasia minima;Festuca glacialis;Festuca paniculata subsp. paniculata;Festuca rubra subsp. commutata;Gentiana alpina;Gentiana nivalis;Gentiana schleicheri;Geum montanum;Gnaphalium supinum;Helictotrichon sedenense;Homogyne alpina;Jasione crispa;Juncus trifidus;Leucanthemopsis alpina subsp. alpina;Linaria alpina;Lotus alpinus;Luzula alpinopilosa subsp. candollei;Luzula lutea;Luzula nutans;Luzula spicata (subsp. mutabilis);Meum athamanticum;Mucizonia sedoides;Murbeckiella pinnatifida;Nardus stricta;Oreochloa elegans;Pedicularis pyrenaica;Persicaria vivipara;Phleum alpinum s. s. (à arrête non ciliée);Phyteuma hemisphaericum;Poa alpina;Poa cenisia;Polytrichum sp.;Primula integrifolia;Rhododendron ferrugineum;Sagina saginoides;Salix herbacea;Salix retusa;Saxifraga geranioides;Saxifraga moschata;Scorzoneroides pyrenaica;Sedum alpestre;Sempervivum montanum;Sibbaldia procumbens;Silene acaulis subsp. acaulis;Silene rupestris;Soldanella alpina;Taraxacum pyrenaicum;Trifolium alpinum;Trifolium thalii;Vaccinium myrtillus;Veronica alpina
PdlC-D1-20180723;PdlC;D1;1;3;20180723;pheno;2018;;;;;;;fe;;fe;;;;;fl;;;;;fe;fe;;;;fe;;fe;;;;;;;;;;;;;;;;;;fe;fe;;;;;;fl f;;;;;;;fe;;;;;;;;fe
PdlC-D1-20180815;PdlC;D1;1;3;20180815;pheno;2018;;;;;;;fe;;fe;;;;;fe;;;;;fr;fe;;;fe;fr;;fe;;;;;;;;;;;;;;fl;;;;fe;fe;;;fe;;;fr;;;;;;;fr;;;;;;;;bt
PdlC-D1-20180905;PdlC;D1;1;3;20180905;pheno;2018;;;;;;;fe;;fe;;;;;di;;;;;di;fe;;;fe;fr;;fe;;;;;;;;;;;;;;di;;;;;fe;;;;;;se;;;;;;;fe;;;;;;;;
PdlC-D1-20190701;PdlC;D1;1;3;20190701;pheno;2019;;;;;;;;;fe;;;;;fe;;;;;;fe;;;fe;;;;;;;;;;;;;;;;;;;;;;fe;;;;;;br;;;;;;;fe;;;;;;;;
PdlC-D1-20190722;PdlC;D1;1;3;20190722;pheno;2019;;;;;;;fe;;fr;;;;;fe;;;;;bt;fe;;;fe;fe;;fe;;;;;;;;;;;;;;;;;;fe;bt;;;fe;;;fr;;;;;;;fl;;;;;;;;fl
PdlC-D1-20190812;PdlC;D1;1;3;20190812;pheno;2019;;;;;;;fe;;fr;;;;;fr;;;;;fr;fl;;;fe;fe;;fe;;;;;;;;;;;;;;;;;;fe;fr;;;;;;fr;;;;;;;fr;;;;;;;;fr
PdlC-D1-20190909;PdlC;D1;1;3;20190909;pheno;2019;;;;;;;se;;di;;;;;di;;;;;fr;fe;;;fe;fe;;fe;;;;;;;;;;;;;;;;;;fe;di;;;;;;di;;;;;;;fe;;;;;;;;fr
Coeff-PdlC-D1-xxxx;PdlC;D1;1;3;2013;Coeff;2013;;;;;;;;;;;;;;1;;;;;1;+;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;4;;;;;;;1;;;;;;;;
Coeff-PdlC-D1-20180815;PdlC;D1;1;3;20180815;Coeff;2018;;;;;;;+;;+;;;;;+;;;;;2;1;;;+;+;;+;;;;;;;;;;;;;;+;;;;+;+;;;+;;;4;;;;;;;1;;;;;;;;+
PdlC-D2-20130807;PdlC;D2;1;3;20130807;pheno;2013;;;;;;;;;;;;fl;;fl;;;;;fe;fe;;;;fe;;;;;;;;;;;;;;;;;;;;;;;;;;;fl f;;;;;;;fe;;;;;;;;
PdlC-D2-20130903;PdlC;D2;1;3;20130903;pheno;2013;;;;;;;;;;;;fr;;fr;;;;;fl;fe;;;;fe;;;;;;;;;;;;;;;;fe;;;;;;;;;;;fr;;;;;;;fe;;;;;;;;
PdlC-D2-20140721;PdlC;D2;1;3;20140721;pheno;2014;;;;;;;;;fe;;;fe;;fe;;;;;fe;fe;;;;fe;;;;;;;;;;;;;;;;fe;;;;;;;;fe;;;fe;;;;;;;fe;;;;;;;;
PdlC-D2-20140811;PdlC;D2;1;3;20140811;pheno;2014;;;;;;;;;fr;;;fl;;fl;;;;;fe;fe;;;;fl;;;;;;;;;;;;;;;;fl;;;;;fl;;fe;fe;;;fr;;;;;;;fl;;;fe;;;;;bt
PdlC-D2-20140901;PdlC;D2;1;3;20140901;pheno;2014;;;;;;;;;fe;;;fr;;fr;;;;;fl;fe;;;;fr;;;;;;;;;;;;;;;;fr;;;;;fl;;fe;fe;;;fr;;;;;;;fr;;;fe;;;;;
PdlC-D2-20150701;PdlC;D2;1;3;20150701;pheno;2015;;;;;;;;;;;;fe;;;;;;;fe;fe;;;;fe;;;;;;;;;;;;;;;;;;;;;fe;;fe;fe;;;bt;;;;;;;fe;;;;;;;;fe
PdlC-D2-20150720;PdlC;D2;1;3;20150720;pheno;2015;;;;;;;;;fr;;;fe;;fl;;;;;fl;fl;;;;fl;;;;;;;;;;;;;;;;fl;;;;;fl;;se;fe;;;fr;;;;;;;bt;;;fe;;;;;fe
PdlC-D2-20150810;PdlC;D2;1;3;20150810;pheno;2015;;;;;;;;;fe;;;fr;;di;;;;;fl;fr;;;;fr;;;;;;;;;;;;;;;;fr;;;;;fr;;se;fe;;;fr;;;;;;;fr;;;;;;;;fe
PdlC-D2-20150831;PdlC;D2;1;3;20150831;pheno;2015;;;;;;;;;fe;;;fe;;se;;;;;fl;di;;;;di;;;;;;;;;;;;;;;;se;;;;;fe;;se;fe;;;di;;;;;;;fe;;;;;;;;fe
PdlC-D2-20160705;PdlC;D2;1;3;20160705;pheno;2016;;;;;;;;;bt;;;bt;;;;;;;fe;fe;;;;fe;;;;;;;;;;;;;;;;;;;;;fe;;;;;;fe;;;;;;;fe;;;fe;;;;;
PdlC-D2-20160726;PdlC;D2;1;3;20160726;pheno;2016;;;;;;;;;fl;;;fl;;fl;;;;;fl;fl;;;;fl;;;;;;;;;;;;;;;;fl;;;;;fl;;se;fe;;;fr;;;;;;;fr;;;fe;;;;;fl
PdlC-D2-20160816;PdlC;D2;1;3;20160816;pheno;2016;;;;;;;;;;;;fr;;fr;;;;;fr;fe;;;;fr;;;;;;;;;;;;;;;;fr;;;;;fr;;;fe;;;fr;;;;;;;fr;;;;;;;;
PdlC-D2-20160907;PdlC;D2;1;3;20160907;pheno;2016;;;;;;;;;;;;di;;di;;;;;di;fe;;;;di;;;;;;;;;;;;;;;;di;;;;;di;;;fe;;;se;;;;;fe;;di;;;;;;;;
PdlC-D2-20170705;PdlC;D2;1;3;20170705;pheno;2017;;;;;;;;;fe;;;fe;;fe;;;;;fe;fe;;;;fe;;;;;;;;;;;;;;;;fe;;;;;fe;;;;;;br;;;;;fe;;fe;;;;;;;;
PdlC-D2-20170726;PdlC;D2;1;3;20170726;pheno;2017;;;;;;;;;fr;;;fl;;fl;;;;;fl;fe;;;;bt;;;;;;;;;;;;;;;;;;;;;fe;;;fe;;;fl f;;;;;;;fr;;;;;;;;
PdlC-D2-20170816;PdlC;D2;1;3;20170816;pheno;2017;;;;;;;;;di;;;fr;;di;;;;;fr;di;;;;fr;;;;;;;;;;;;;;;;;;;;;di;;se;;;;di;;;;;;;di;;;fe;;;;;
PdlC-D2-20170906;PdlC;D2;1;3;20170906;pheno;2017;;;;;;;;;di;;;fr;;fe;;;;;fr;fe;;;;di;;;;;;;;;;;;;;;;;;;;;se;;fe;;;;di;;;;fe;fe;;se;;;fe;;;;;fe
PdlC-D2-20180702;PdlC;D2;1;3;20180702;pheno;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PdlC-D2-20180723;PdlC;D2;1;3;20180723;pheno;2018;;;;;;;;;fe;;;fl;;fl;;;;;fe;fe;;;;fe;;fe;;;;;;;;;;;;;;;;;;;fe;;;;;;fl f;;;;;fe;;fe;;;fe;;;;;fe
PdlC-D2-20180815;PdlC;D2;1;3;20180815;pheno;2018;;;;;;;;;fe;;;fr;;fr;;;;;fr;fe;;;;fr;;fe;;;;;;;;;;;;;fe;;;;;;fe;;;fe;;;fr;;;;;fr;;fr;;;fe;;;;;fe
PdlC-D2-20180905;PdlC;D2;1;3;20180905;pheno;2018;;;;;;;;;fe;;;fe;;fe;;;;;di;fe;;;;fr;;fe;;;;;;;;;;;;;fe;;;;;;di;;;fe;;;se;;;;;fr;;fr;;;fe;;;;;
PdlC-D2-20190701;PdlC;D2;1;3;20190701;pheno;2019;;;;;;;;;;;;;;fe;;;;;;fe;;;;fe;;;;;;;;;;;;;;;;;;;;;;;;;;;br;;;;;;;fe;;;bt;;;;;
PdlC-D2-20190722;PdlC;D2;1;3;20190722;pheno;2019;;;;;;;;;fe;;;fl;;fl;;;;;bt;bt;;;;bt;;fe;;;;;;;;;;;;;fe;;;;;fe;bt;;;fe;;;fl m;;;;;fe;;fl;;;fe;;;;;
PdlC-D2-20190812;PdlC;D2;1;3;20190812;pheno;2019;;;;;;;;;;;;di;;di;;;;;fr;fe;;;;fr;;fe;;;;;;;;;;;;;fe;;;;fe;fe;fr;;fe;fe;;;fr;;;;;fe;;fe;;;fe;;;;;fr
PdlC-D2-20190909;PdlC;D2;1;3;20190909;pheno;2019;;;;;;;;;;;;fe;;fe;;;;;fr;fe;;;;di;;se;;;;;;;;;;;;;fe;;;;;;di;;;fe;;;di;;;;;fe;;di;;;fe;;;;;fe
Coeff-PdlC-D2-2013;PdlC;D2;1;3;2013;Coeff;2013;;;;;;;;;;;;2;;1;;;;;1;1;;;;2;;;;;;;;;;;;;;;;+;;;;;;;;;;;2;;;;;;;2;;;;;;;;
Coeff-PdlC-D2-20180815;PdlC;D2;1;3;20180815;Coeff;2018;;;;;;;;;+;;;2;;1;;;;;2;1;;;;2;;+;;;;;;;;;;;;;1;;;;;;1;;;+;;;1;;;;;+;;2;;;+;;;;;+
PdlC-D3-20130807;PdlC;D3;2;3;20130807;pheno;2013;;;;fe;;;;;;;;fl;;fl;;;;;;fe;;;;fe;;;;;;;;;;;;;;;;;;;;;;;;;;;fl f;;;;;;;fe;;;;;;;;fe
PdlC-D3-20130903;PdlC;D3;2;3;20130903;pheno;2013;;;;fl;;;;;;;;fr;;fr;;;;;;fe;;;;fe;;;;;;;;;;;;;;;;;;;;;;;;;;;fr;;;;;;;fe;;;;;;;;fl
PdlC-D3-20140721;PdlC;D3;2;3;20140721;pheno;2014;;;;bt;;;;;;;;fl;;;;;;;;fe;;;;fe;;;;;;;;;;;;;;;;;;;;;fe;;;;;;fe;;;;;;;fe;;;;;;;;fe
PdlC-D3-20140811;PdlC;D3;2;3;20140811;pheno;2014;;;;fl;;;;;;;;fl;;fl;;;;;;fe;;;;bt;;;;;;;;;;;;;;;;;;;;fe;fl;;;;;;fr;;;;;;;fr;;;;;;;;fl
PdlC-D3-20140901;PdlC;D3;2;3;20140901;pheno;2014;;;;fl;;;;;;;;fr;;fr;;;;;;fe;;;;fr;;;;;;;;;;;;;;;;;;;;fl;fl;;;;;;fe;;;;;;;fe;;;;;;;;fr
PdlC-D3-20150701;PdlC;D3;2;3;20150701;pheno;2015;;;;fe;;;;;;;;fe;;;;;;;;fe;;;;fe;;;;;;;;;;;;;;;;;;;;;fe;;;;;;br;;;;;;;fe;;;;;;;;fe
PdlC-D3-20150720;PdlC;D3;2;3;20150720;pheno;2015;;;;fl;;;;;fr;;;fl;;fr;;;;;;fl;;;;fl;;;;;;;;;;;;;;;;fl;;;;fe;fl;;;;;;fe;;;;;;;bt;;;;;;;;fl
PdlC-D3-20150810;PdlC;D3;2;3;20150810;pheno;2015;;;;fr;;;;;fr;;;fr;;fr;;;;;;fr;;;;fr;;;;;;;;;;;;;;;;fr;;;;;fr;;;;;;fe;;;;;;;fr;;;;;;;;fr
PdlC-D3-20150831;PdlC;D3;2;3;20150831;pheno;2015;;;;di;;;;;;;;fr;;se;;;;;;se;;;;di;;;;;;;;;;;;;;;fr;;;;;fr;fr;;;;;;fe;;;;;;;di;;;;;;;;fe
PdlC-D3-20160705;PdlC;D3;2;3;20160705;pheno;2016;;;;bt;;;;;fe;;;fl;;;;;;;;fe;;;;fe;;fe;;;;;;;;;;;;;;;;;;;fe;;;fe;;;fe;;;;;;;fe;;;;;;;;fe
PdlC-D3-20160726;PdlC;D3;2;3;20160726;pheno;2016;;;;fl;;;;;fr;;;fl;;fl;;;;;;fl;;;;fl;;;;;;;;;;;;;fe;;fe;fl;;;;;fl;;;fe;;;fe;;;;;;;fr;;;;fl;;;;fl
PdlC-D3-20160816;PdlC;D3;2;3;20160816;pheno;2016;;;;fr;;;;;;;;fr;;fr;;;;;;fr;;;;fr;;;;;;;;;;;;;fe;;fl;;;;;;fr;;;fe;;;fe;;;;;;;fr;;;;;;;;fr
PdlC-D3-20160907;PdlC;D3;2;3;20160907;pheno;2016;fr;;;di;;;;;;;;di;;di;;;;;;fe;;;;di;;;;;;;;;;;;;fe;;di;;;;;;di;;;fe;;;se;;;;;;;fe;;;;;;;;di
PdlC-D3-20170705;PdlC;D3;2;3;20170705;pheno;2017;;;;fe;;;;;;;;fe;;fe;;;;;;fe;;;;fe;;fe;;;;;;;;;;;fe;;fe;;;;;;fe;;;fe;;;br;;;;;;;fe;;;;;;;;fe
PdlC-D3-20170726;PdlC;D3;2;3;20170726;pheno;2017;;;;fl;;bt;;;;;;fl;;fl;;;;;;fl;;;;bt;;fe;;;;;;;;;;;fe;;fe;;;;;fe;fl;;;fe;;;fl f;;;;;;;bt;;;;fl;;;;bt
PdlC-D3-20170816;PdlC;D3;2;3;20170816;pheno;2017;di;;;di;;di;;;;;;di;;fr;;;;;;di;;;;di;;fe;;;;;;;;;;;fe;;;;;;;fe;fe;;;fe;;;di;;;;;;;fr;;;;di;;;;fr
PdlC-D3-20170906;PdlC;D3;2;3;20170906;pheno;2017;di;;;di;;se;;;;;;di;;di;;;;;;di;;;;di;;fe;;;;;;;;;;;fe;;;;;;;fe;se;;;fe;;;se;;;;;;;di;;;;fe;;;;di
PdlC-D3-20180702;PdlC;D3;2;3;20180702;pheno;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PdlC-D3-20180723;PdlC;D3;2;3;20180723;pheno;2018;;;;fl;;fe;;;fl;;;fl;;fl;;;;;;fe;;;;fe;;fe;;;;;;;;;;;;;fe;;;;;;fe;;;;;;fl f;;;;;;;fe;;;;fe;;;;fe
PdlC-D3-20180815;PdlC;D3;2;3;20180815;pheno;2018;;;;di;;fe;;;fe;;;fr;;di;;;;;;fe;;;;fe;;fe;;;;;;;;;;;;;fe;;;;;fe;fl;;;;;;fr;;;;;;;fr;;;;fe;;;;bt
PdlC-D3-20180905;PdlC;D3;2;3;20180905;pheno;2018;;;;fe;;fe;;;fe;;;di;;di;;;;;;fe;;;;fr;;fe;;;;;;;;;;;;;fe;;;;;fe;fr;;;fe;;;se;;;;;;;fe;;;;fe;;;;fr
PdlC-D3-20190701;PdlC;D3;2;3;20190701;pheno;2019;;;;fe;;;;;fe;;;fe;;fe;;;;;;fe;;;;fe;;fe;;;;;;;;;;;;;;;;;;;fe;;;;;;;;;;;;;fe;;;;;;;;fe
PdlC-D3-20190722;PdlC;D3;2;3;20190722;pheno;2019;;;;fl;;fe;;;fr;;;fl;;fl;;;;;;bt;;;;bt;;fe;;;;;;;;;;;fe;;fe;;;;;fe;fe;;;;;;fe;;;;;;;fl;;;;bt;;;;fe
PdlC-D3-20190812;PdlC;D3;2;3;20190812;pheno;2019;;;;fl;;fe;;;fr;;;di;;fe;;;;;;fr;;;;fr;;fe;;;;;;;;;;;;;fe;;;;;fe;fe;;;fe;;;fr;;;;;;;fr;;;;fe;;;;fr
PdlC-D3-20190909;PdlC;D3;2;3;20190909;pheno;2019;;;;fr;;fe;;;;;;di;;di;;;;;;fe;;;;di;;fe;;;;;;;;;;;;;fe;;;;;fe;fe;;;;;;se;;;;;;;fe;;;;fe;;;;di
Coeff-PdlC-D3-2013;PdlC;D3;2;3;2013;Coeff;2013;;;;2;;;;;;;;2;;1;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;1;;;;;;;;1
Coeff-PdlC-D3-20180815;PdlC;D3;2;3;20180815;Coeff;2018;;;;2;;+;;;+;;;2;;1;;;;;;2;;;;2;;+;;;;;;;;;;;;;1;;;;;+;1;;;;;;2;;;;;;;1;;;;+;;;;2
PdlC-D4-20130807;PdlC;D4;2;3;20130807;pheno;2013;;;;fe;;;;;;;;;;;;;;;fe;fe;;;fe;fe;;;;;;;;;;;;;;;;;;;;;fe;;;;;;fl f;;;;;;;fe;;;;;;;;
PdlC-D4-20130903;PdlC;D4;2;3;20130903;pheno;2013;;;;fl;;;;;;;;;;;;;;;fl;fe;;;fe;fl;;;;;;;;;;;;;;;;;;;;;fl;;;;;;fr;;;;;;;fe;;;;;;;;
PdlC-D4-20140721;PdlC;D4;2;3;20140721;pheno;2014;;;;fe;;;;;bt;;;;;;;;;;;fe;;;fe;fe;;;;;;;;;;;;;;;;;;;;;fe;;;;;;fe;;;;;;;fe;;;;;;;;
PdlC-D4-20140811;PdlC;D4;2;3;20140811;pheno;2014;;;;bt;;;;;fr;;;;;fe;;;;;fe;fl;;;fe;fl;;;;;;;;;;;;;fe;;;;;;;bt;fl;;fe;;;;fr;;;;;;;fr;;;;;;;;fl
PdlC-D4-20140901;PdlC;D4;2;3;20140901;pheno;2014;;;;fe;;;;;fr;;;;;fr;;fl;;;fe;fe;;;fe;fr;;;;;;;;;;;;;fe;;;;;;;fl;fl;;;;;;fe;;;;;;;fr;;;;;;;;fr
PdlC-D4-20150701;PdlC;D4;2;3;20150701;pheno;2015;;;;fe;;;;;fe;;;;;;;;;;;fl;;;fe;fe;;;;;;;;;;;;;;;;;;;;;fe;;;;;;fe;;;;;;;fe;;;;;;;;fe
PdlC-D4-20150720;PdlC;D4;2;3;20150720;pheno;2015;;;;fe;;;fe;;fr;;;;;fr;;;;;;fl;;;fe;fl;;;;;;;;;;;;;fe;;;fl;;;;fe;fl;;fe;;;;fr;;;;;;;fl;;;;;;;;fl
PdlC-D4-20150810;PdlC;D4;2;3;20150810;pheno;2015;;;;fe;;;fe;;fr;;;fe;;fr;;fl;;;;fe;;;fe;fr;;;;;;;;;;;;;fe;;;;;;;;fr;;fe;;;;fr;;;;;;;fr;;;;;;;;fr
PdlC-D4-20150831;PdlC;D4;2;3;20150831;pheno;2015;;;;fe;;;fe;;di;;;fe;;di;;di;;;;di;;;fe;di;;;;;;;;;;;;;bt;;;;;;;;di;;;;;;fe;;;;;;;di;;;;;;;;di
PdlC-D4-20160705;PdlC;D4;2;3;20160705;pheno;2016;;;;fe;;;fe;;fe;;;;;;;;;;;bt;;;;fe;;;;;;;;;;;;;fe;;;;;;;;fe;;;;;;fe;;;;;;;fe;;;;;;;;fe
PdlC-D4-20160726;PdlC;D4;2;3;20160726;pheno;2016;;;;;;;fe;;fr;;;fl;;fl;;fe;;;fl;fl;;;fe;fl;;;;;;;;;;;;;fe;;;;;;;bt;fl;;fe;;;;fr;;;;;;;fr;;;;;;;;bt
PdlC-D4-20160816;PdlC;D4;2;3;20160816;pheno;2016;;;;;;;;;;;;fe;;fe;;fl;;;fl;fr;;;fe;fr;;;;;;;;;;;;;fe;;;;;;;bt;fr;;;;;;fr;;;;;;;fe;;;;;;;;fr
PdlC-D4-20160907;PdlC;D4;2;3;20160907;pheno;2016;;;;;;;;;;;;fe;;fe;;fr;;;fr;di;;;fe;di;;;;;;;;;;;;;fe;;;;;;;fr;di;;;;;;se;;;;;;;fe;;;;;;;;di
PdlC-D4-20170705;PdlC;D4;2;3;20170705;pheno;2017;;;;;;;;;;;;;;fe;;;;;;fe;;;fe;fe;;;;;;;;;;;;;fe;;;;;;fe;fe;fe;;;;;;br;;;;;;;fe;;;;;;;;fe
PdlC-D4-20170726;PdlC;D4;2;3;20170726;pheno;2017;;;;;;;fe;;;;;;;fl;;;;;;fe;;;fe;fe;;;;;;;;;;;;;fe;;;;;;fe;fe;fl;;;;;;fl f;;;;fe;;;fl;;;;;;;;bt
PdlC-D4-20170816;PdlC;D4;2;3;20170816;pheno;2017;;;;;;;fe;;fr;;;fe;;di;;fl;;;fr;fe;;;fe;fe;;;;;;;;;;;;;fe;;;;;;fe;bt;di;;fe;;;;di;;;;;;;fr;;;;;;;;fr
PdlC-D4-20170906;PdlC;D4;2;3;20170906;pheno;2017;fl;;;;;;fe;;;;;di;;fe;;fe;di;;;fe;;;fe;di;;;;;;;;;;;;;fe;;;;;;di;fe;se;;;;;;se;;;;;;;di;;;;;;;;di
PdlC-D4-20180702;PdlC;D4;2;3;20180702;pheno;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PdlC-D4-20180723;PdlC;D4;2;3;20180723;pheno;2018;;;;;;;;;fe;;;fe;;fe;;;;;fe;fe;;;fe;fe;;;;;;;;;;;;;fe;;;;;;fe;fe;fe;;;;;;fl f;;;;bt;;;fe;;;;;;;;fe
PdlC-D4-20180815;PdlC;D4;2;3;20180815;pheno;2018;;;;;;;fe;;fe;;;fe;;fe;;;;;;fe;;;di;fe;;;;;;;;;;;;;fe;;;;;;fe;fe;fe;;;;;;fr;;;;fr;;;di;;;;;;;;bt
PdlC-D4-20180905;PdlC;D4;2;3;20180905;pheno;2018;;;;;;;fe;;fe;;;fe;;fe;;fl;fe;;;fe;;;di;fr;;;;;;;;;;;;;fe;;;;;;fe;fe;fe;;;;;;se;;;;fe;;;fr;;;;;;;;fe
PdlC-D4-20190701;PdlC;D4;2;3;20190701;pheno;2019;;;;;;;;;;;;;;fe;;;;;;fe;;;;fe;;;;;;;;;;;;;;;;;;;;;fe;;;;;;br;;;;;;;fe;;;;;;;;
PdlC-D4-20190722;PdlC;D4;2;3;20190722;pheno;2019;;;;;;;fe;;fr;;;fl;;fe;;;;;;fe;;;fe;bt;;;;;;;;;;;;;;;;;;;fe;fe;bt;;;;;;fr;;;;bt;;;fl;;;;;;;;bt
PdlC-D4-20190812;PdlC;D4;2;3;20190812;pheno;2019;;;;;;;fe;;;;;di;;fe;;fl;fe;;;fl;;;fe;fr;;;;;;;;;;;;;;;;;;;fe;fe;fr;;;;;;fr;;;;fe;;;fr;;;;;;;;fr
PdlC-D4-20190909;PdlC;D4;2;3;20190909;pheno;2019;;;;;;;fe;;;;;di;;fe;;fr;fe;;;fr;;;se;di;;;;;;;;;;;;;;;;;;;fe;fe;di;;;;;;di;;;;fe;;;di;;;;;;;;di
Coeff-PdlC-D4-2013;PdlC;D4;2;3;2013;Coeff;2013;;;;1;;;;;;;;;;;;;;;1;+;;;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;3;;;;;;;1;;;;;;;;
Coeff-PdlC-D4-20180815;PdlC;D4;2;3;20180815;Coeff;2018;;;;;;;1;;1;;;+;;1;;;;;;1;;;1;1;;;;;;;;;;;;;+;;;;;;+;1;1;;;;;;3;;;;+;;;2;;;;;;;;1
PdlC-D5-20130807;PdlC;D5;3;3;20130807;pheno;2013;;;;;;;;;;;;;;fe;;;;;fe;fe;;;fe;;;;;;;;;;;;;;;;;;;;;;fe;;;;;;fl f;;;;;;;fe;;;;;;;;fe
PdlC-D5-20130903;PdlC;D5;3;3;20130903;pheno;2013;;;;;;;fe;;;;;;;fr;;;;;fe;fr;;;fe;;;;;;;;;;;;;;;;;;;;;;fl;;;;;;fr;;;;;;;fe;;;;;;;;fl
PdlC-D5-20140721;PdlC;D5;3;3;20140721;pheno;2014;;;;;;;;;bt;;;;;;;;;;fe;fe;;;fe;fe;;;;;;;;;;;;;;;;;;;;;fe;;;;;;fe;;;;;;;fe;;;;;;;;fe
PdlC-D5-20140811;PdlC;D5;3;3;20140811;pheno;2014;;;;;;;fe;;fr;;;;;fr;;;;;fe;fe;;;fl;fe;;;;;;;;;;;;;;;;fl;;;;;fl;;;;;;fr;;;;fe;;;fe;;;;;;;;bt
PdlC-D5-20140901;PdlC;D5;3;3;20140901;pheno;2014;;;;;;;fe;;fr;;;;;;;;;;fl;fe;;;fe;fe;;;;;;;;;;;;;;;;;;;;;fl;;;;;;fr;;;;fe;;;fe;;;;;;;;fr
PdlC-D5-20150701;PdlC;D5;3;3;20150701;pheno;2015;;;;;;;fe;;fe;;;;;;;;;;;fe;;;fe;;;;;;;;;;;;;;;;;;;;;;fe;;;;;;fe;;;;;;;fe;;;;;;;;
PdlC-D5-20150720;PdlC;D5;3;3;20150720;pheno;2015;;;;;;bt;fe;;fr;;;;;;;;;;;fe;;;fe;fe;;;;;;;;;;;;;;;;fl;;;;;fl;;;;;;fr;;;;;;;fe;;;;;;;;fl
PdlC-D5-20150810;PdlC;D5;3;3;20150810;pheno;2015;;;;;;fl;fe;;fe;;;;;;;;;;fl;fe;;;fe;;;;;;;;;;;;;;;;;;;;;fe;fr;;;;;;fr;;;;;;;fe;;;;;;;;fe
PdlC-D5-20150831;PdlC;D5;3;3;20150831;pheno;2015;;;;;;fr;fe;;;;;;;fe;;;;;fl;fe;;;fe;;;;;;;;;;;;;;;;;;;;;fe;se;;;;;;fr;;;;;;;fe;;;;;;;;di
PdlC-D5-20160705;PdlC;D5;3;3;20160705;pheno;2016;;;;;;;fe;;fe;;;;;;;;;;fe;;;;bt;fe;;;;;;;;;;;;;;;;;;;;;fe;;;;;;fe;;;;;;;fe;;;;;;;;fe
PdlC-D5-20160726;PdlC;D5;3;3;20160726;pheno;2016;;;;;;fl;fe;;fr;;;;;;;;;;bt;fe;;;fl;;;;;;;;;;;;;;;;;fe;;;;fe;fe;;;;;;fr;;;;bt;;;fe;;;;;;;;fl
PdlC-D5-20160816;PdlC;D5;3;3;20160816;pheno;2016;;;;;;fe;fe;;fe;;;;;;;;;;fr;fe;;;di;;;;;;;;;;;;;;;;;;;;;;fr;;;;;;fr;;;;fe;;;fr;;;;;;;;fr
PdlC-D5-20160907;PdlC;D5;3;3;20160907;pheno;2016;;;;;;fe;fe;;;;;;;fr;;;;;di;fe;;;fe;;;;;;;;;;;;;;;;;;;;;;di;;;;;;fe;;;;fe;;;di;;;;;;;;di
PdlC-D5-20170705;PdlC;D5;3;3;20170705;pheno;2017;;;;;;fe;fe;;;;;;;fe;;;;;fe;fe;;;fe;fe;;;;;;;;;;;;;;;;;;;fe;;fe;;;;;;fe;;;;;;;fe;;;;;;;;fe
PdlC-D5-20170726;PdlC;D5;3;3;20170726;pheno;2017;;;;;;bt;fe;;;;;;;;;;;;fe;fe;;;fe;fe;;;;;;;;;;;fr;;;;;;;;fl;fe;fl;;;;;;fl f;;;;;;;bt;;;;;;;;bt
PdlC-D5-20170816;PdlC;D5;3;3;20170816;pheno;2017;;;;;;fr;fe;;;;;;;fe;;;;;fe;fe;;;fe;;;;;;;;;;;;;;;;;;;;di;fe;di;;;;;;di;;;;;;;di;;;;;;;;fr
PdlC-D5-20170906;PdlC;D5;3;3;20170906;pheno;2017;;;;;;di;fe;;fe;;;;;fe;;;;;fe;fe;;;fe;;;;;;;;;;;;;;;;;;;;di;fe;se;;;;;;se;;;;;;;fe;;;;;;;;fe
PdlC-D5-20180702;PdlC;D5;3;3;20180702;pheno;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
