1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 49000000209D7041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 10800 second(s)
Mission Start Time:  Mon Jul 21 17:00:01 CEST 2014
Mission Sample Count:  2913
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Jul 21 17:00:01 CEST 2014
Total Mission Samples:  2913
Total Device Samples:  6762
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/08/14 14:00:01,C,18,591
10/08/14 17:00:01,C,22,593
10/08/14 20:00:01,C,17,09
10/08/14 23:00:01,C,12,584
11/08/14 02:00:01,C,11,081
11/08/14 05:00:01,C,10,581
11/08/14 08:00:01,C,10,08
11/08/14 11:00:01,C,12,584
11/08/14 14:00:01,C,16,089
11/08/14 17:00:01,C,22,093
11/08/14 20:00:01,C,15,588
11/08/14 23:00:01,C,12,584
12/08/14 02:00:01,C,10,581
12/08/14 05:00:01,C,10,08
12/08/14 08:00:01,C,10,08
12/08/14 11:00:01,C,12,584
12/08/14 14:00:01,C,13,585
12/08/14 17:00:01,C,13,585
12/08/14 20:00:01,C,13,085
12/08/14 23:00:01,C,11,081
13/08/14 02:00:01,C,11,081
13/08/14 05:00:01,C,10,08
13/08/14 08:00:01,C,8,577
13/08/14 11:00:01,C,8,577
13/08/14 14:00:01,C,10,08
13/08/14 17:00:01,C,9,579
13/08/14 20:00:01,C,8,577
13/08/14 23:00:01,C,7,575
14/08/14 02:00:01,C,7,073
14/08/14 05:00:01,C,6,572
14/08/14 08:00:01,C,6,071
14/08/14 11:00:01,C,7,575
14/08/14 14:00:01,C,10,581
14/08/14 17:00:01,C,12,584
14/08/14 20:00:01,C,11,081
14/08/14 23:00:01,C,8,076
15/08/14 02:00:01,C,6,572
15/08/14 05:00:01,C,5,069
15/08/14 08:00:01,C,5,57
15/08/14 11:00:01,C,7,073
15/08/14 14:00:01,C,16,089
15/08/14 17:00:01,C,12,584
15/08/14 20:00:01,C,9,579
15/08/14 23:00:01,C,8,577
16/08/14 02:00:01,C,7,073
16/08/14 05:00:01,C,6,572
16/08/14 08:00:01,C,6,071
16/08/14 11:00:01,C,8,577
16/08/14 14:00:01,C,10,581
16/08/14 17:00:01,C,9,579
16/08/14 20:00:01,C,8,577
16/08/14 23:00:01,C,7,073
17/08/14 02:00:01,C,5,069
17/08/14 05:00:01,C,3,063
17/08/14 08:00:01,C,3,063
17/08/14 11:00:01,C,5,069
17/08/14 14:00:01,C,18,591
17/08/14 17:00:01,C,23,094
17/08/14 20:00:01,C,13,085
17/08/14 23:00:01,C,8,577
18/08/14 02:00:01,C,7,575
18/08/14 05:00:01,C,6,572
18/08/14 08:00:01,C,6,071
18/08/14 11:00:01,C,7,575
18/08/14 14:00:01,C,18,591
18/08/14 17:00:01,C,21,093
18/08/14 20:00:01,C,13,585
18/08/14 23:00:01,C,10,581
